Document Title,Authors,DOI,Link
"6th International Conference on Computational Intelligence, Cyber Security, and Computational Models, ICC3 2023",,,https://www.scopus.com/pages/publications/105023424857?origin=resultslist
Virtual reality applications in medical training and education,Rafi B.S.; Sirvi J.; Choudhary S.,10.1016/B978-0-443-30182-7.00005-1,https://www.scopus.com/pages/publications/105019729844?origin=resultslist
Shaping the Future of Logistics: Quantum-Inspired Optimization for Autonomous Deliveries,Pusuluri V.B.; Motam M.J.; Jitendara P.V.R.; Vetsa P.; Vasana M.S.S.,10.1109/ICCC64910.2025.11077310,https://www.scopus.com/pages/publications/105012762240?origin=resultslist
Novel Quantum-Integrated CNN Model for Improved Human Activity Recognition in Smart Surveillance,Bukht T.F.N.; Wu Y.; Almujally N.A.; AItarbi S.S.; Rahman H.; Jalal A.; Liu H.,10.32604/cmes.2025.071850,https://www.scopus.com/pages/publications/105025786305?origin=resultslist
A passivation strategy assisting a robust and low consumption power BP-based optical synaptic device for neural computing,Zeng J.; Ding L.; Yuan S.; Feng Z.; Dong L.; Shen W.; Wang P.; Wu Z.; Wei G.,10.1039/d3tc04645a,https://www.scopus.com/pages/publications/85191378606?origin=resultslist
"Surface Acoustic Wave Devices: New Mechanisms, Enabling Techniques, and Application Frontiers",Xu H.; Liu X.; Ye W.; Zeng X.; Qadir A.; Chen J.,10.3390/mi17040494,https://www.scopus.com/pages/publications/105037069684?origin=resultslist
High recovery speed optical humidity sensing enabled with GQD for non-contact finger distance detection,Shi Y.; Wang F.; Gao F.; Kang J.; Wu J.; Ren Z.; Zhou J.; Dong J.; Zhou W.; Shen C.,10.1016/j.snb.2024.136541,https://www.scopus.com/pages/publications/85202348053?origin=resultslist
ANTITRUST AFTER THE COMING WAVE,Crane D.A.,,https://www.scopus.com/pages/publications/85207169888?origin=resultslist
Harnessing machine learning and virtual sample generation for corrosion studies of 2-alkyl benzimidazole scaffold small dataset with an experimental validation,Iyer R.S.; Iyer N.S.; P R.A.; Joseph A.,10.1016/j.molstruc.2024.137767,https://www.scopus.com/pages/publications/85186482871?origin=resultslist
Quantum Computing for Cyber Threat Detection,Begum S.H.; Mohammed I.; Rahman S.; Waheed Khan M.O.,10.1109/ICAAIC64647.2025.11330692,https://www.scopus.com/pages/publications/105034886949?origin=resultslist
Energy-Aware Swarm Robotics in Smart Microgrids Using Quantum-Inspired Reinforcement Learning,Shili M.; Hammedi S.; Chaoui H.; Nouri K.,10.3390/electronics14214210,https://www.scopus.com/pages/publications/105021400568?origin=resultslist
An improved whale optimization algorithm for multi-robot path planning,Shao Y.; Zhu L.; Su C.; Wang J.,10.1080/0305215X.2024.2366484,https://www.scopus.com/pages/publications/85202854596?origin=resultslist
Adaptive quantum differential evolution with experience-guided learning for integrated production and collaborative mobile robot scheduling,Fan Q.; Gao L.; Li X.; Zhang C.; Liu Q.,10.1016/j.eswa.2025.131023,https://www.scopus.com/pages/publications/105029561385?origin=resultslist
"NDE 4.0: The confluence of cutting-edge nondestructive inspection practices, data fusion techniques, artificial intelligence, and cyber-physical systems for effective evaluation of materials and structures",Nsengiyumva W.; Zhong S.; Tu S.-T.,10.1016/j.ymssp.2025.113626,https://www.scopus.com/pages/publications/105022853899?origin=resultslist
AI-Driven Autonomous Robotics for Scalable Lunar and Martian Infrastructure: Optimizing ISRU Swarm Construction and Decentralized Control,Vasudevan N.; Massat O.; Sampathkumar P.; Kavitha A.K.S.; Vasudevan P.,10.52202/083093-0048,https://www.scopus.com/pages/publications/105032975521?origin=resultslist
Chaos quantum bee colony algorithm for constrained complicate optimization problems and application of robot gripper,Ma R.; Gui J.; Wen J.; Guo X.,10.1007/s00500-024-09877-8,https://www.scopus.com/pages/publications/85199311813?origin=resultslist
Society 5.0 in the cloud: Harnessing the power of modern information technologies,Ghaderi Y.; Ghaderi M.R.,10.54517/m3232,https://www.scopus.com/pages/publications/105004073145?origin=resultslist
Surface Cation Cross-Locking Enables Non-Destructive “On-Demand” Synthesis of Anion-Exchanged CsPbX3 Perovskite Nanocrystals,Huang G.; Sun K.; Xiong X.; Song L.; Liu G.; Zheng C.; Yu F.; Du Z.,10.1002/lpor.202401121,https://www.scopus.com/pages/publications/85205677898?origin=resultslist
A Quantum Annealing Approach to Target Tracking,Barbeau M.; Janabi-Sharifi F.; Masnavi H.,10.1109/ICRA55743.2025.11128357,https://www.scopus.com/pages/publications/105016562344?origin=resultslist
"IR4.0 and internet of things: future directions towards enhanced connectivity, automation, and sustainable innovation",El-Ebiary Y.A.B.; Mjlae S.A.; Ahmad H.; Rababa'h S.Y.; Rababah M.A.; Arabiat O.G.,10.12928/TELKOMNIKA.v22i6.25487,https://www.scopus.com/pages/publications/85206991795?origin=resultslist
PART III: Quantum models: Quantum machine learning approaches,Poobala M.; Natarajan G.K.; Shanmugam I.; Vargese J.,10.1201/9781003429654-10,https://www.scopus.com/pages/publications/85206281305?origin=resultslist
Quasi-Static and Dynamic Measurement Capabilities Provided by an Electromagnetic Field-Based Sensory Glove,Saggio G.; Pietrosanti L.; Lee I.-J.; Lin B.-S.,10.3390/bios15100640,https://www.scopus.com/pages/publications/105019972858?origin=resultslist
Quantum robotics: a review of emerging trends,Yan F.; Iliyasu A.M.; Li N.; Salama A.S.; Hirota K.,10.1007/s42484-024-00225-5,https://www.scopus.com/pages/publications/85210479879?origin=resultslist
The study of collision analysis and stabilized operational control for a multi-flexible space robot under captured target collision,Zhang F.; Liang N.,10.1016/j.ejcon.2025.101265,https://www.scopus.com/pages/publications/105008659767?origin=resultslist
"Optical integrated sensing and communication: Fundamentals, applications, challenges and future aspects",Mohsan S.A.H.; Bai S.; Huang H.; Hao Y.; Zheng S.; Li Q.; Fu H.Y.,10.1016/j.osn.2026.100854,https://www.scopus.com/pages/publications/105035060044?origin=resultslist
"3rd International Conference on Biomedical Engineering Science and Technology, ICBEST 2025",,,https://www.scopus.com/pages/publications/105030253077?origin=resultslist
Self-powered broadband photodetection and bias-tunable infrared optoelectronic synapses: Dual-functional device based on asymmetric Schottky contact Au/WSe2/1T'-MoTe2 heterojunction,Li H.; Wang D.; Zhou Z.; Hou P.,10.1063/5.0285421,https://www.scopus.com/pages/publications/105013267871?origin=resultslist
"15th International Conference on Decision and Game Theory for Security, GameSec 2024",,,https://www.scopus.com/pages/publications/85207668397?origin=resultslist
BHT-QAOA: The Generalization of Quantum Approximate Optimization Algorithm to Solve Arbitrary Boolean Problems as Hamiltonians,Al-Bayaty A.; Perkowski M.,10.3390/e26100843,https://www.scopus.com/pages/publications/85207682459?origin=resultslist
A new age of reason: Harnessing the power of tech for good,Weber L.,,https://www.scopus.com/pages/publications/85202268247?origin=resultslist
"International Conference on Computational Intelligence and Information Retrieval, ICCIIR 2025",,,https://www.scopus.com/pages/publications/105027086209?origin=resultslist
"19th International Conference on Soft Computing Models in Industrial and Environmental Applications, SOCO 2024",,,https://www.scopus.com/pages/publications/85210440442?origin=resultslist
"Correction: Advancements in quantum computing: theoretical insights and practical applications using Gaussian spherical quantum dots (Quantum Information Processing, (2025), 24, 6, (161), 10.1007/s11128-025-04745-2)",Yahweh B.; Ibeh G.J.; Akpojotor G.E.; Ekanem A.M.; George N.J.,10.1007/s11128-026-05095-3,https://www.scopus.com/pages/publications/105036060944?origin=resultslist
Quantum-Assisted Automatic Path-Planning for Robotic Quality Inspection in Industry 4.0,Osaba E.; Garrote E.; Miranda-Rodriguez P.; Ciacco A.; Cabanes I.; Mancisidor A.,10.1109/QCE65121.2025.10359,https://www.scopus.com/pages/publications/105030039952?origin=resultslist
Tailoring Classical Conditioning Behavior in TiO2 Nanowires: ZnO QDs-Based Optoelectronic Memristors for Neuromorphic Hardware,Wang W.; Wang Y.; Yin F.; Niu H.; Shin Y.-K.; Li Y.; Kim E.-S.; Kim N.-Y.,10.1007/s40820-024-01338-z,https://www.scopus.com/pages/publications/85185943371?origin=resultslist
Role of talent management in people analytics and Industry 4.0,Katuse P.; Gaur D.,,https://www.scopus.com/pages/publications/85198177421?origin=resultslist
Structural reconfiguration of interacting multi-particle systems through parametric pumping,Mao Q.; Wu B.; VanSaders B.; Jaeger H.M.,10.1038/s41467-025-59631-3,https://www.scopus.com/pages/publications/105005527777?origin=resultslist
A Flexible and Ultrasensitive Artificial Compound Eye Using Bionic Micro-Lens Array for Drone Vision,Wang J.; Zhao F.; Liu W.; Qin N.; Tao T.H.,10.1109/MEMS61431.2025.10917783,https://www.scopus.com/pages/publications/105001660789?origin=resultslist
Ti0.87O2 nanosheets on Ni integrated n-Si: planar architecture with enhanced photoresponse for self-driven photodetectors,Ali N.; Xing Z.; Jia C.; Wu D.; Zeng L.; Yuan H.,10.1039/d5tc00821b,https://www.scopus.com/pages/publications/105010937107?origin=resultslist
Kinematic Parameter Identification of Robotic Manipulators Based on SE(3) Lie Group Error Modeling and Improved Genetic Algorithm,Zhang L.; Fang L.,10.1088/1742-6596/3108/1/012012,https://www.scopus.com/pages/publications/105019934320?origin=resultslist
Wavelength-selective and stretchable infrared and visible photodetectors with coupled quantum dots/nanowires,Lee Y.M.; Bang J.; Ahn J.; Jung B.K.; Kim W.; Choi Y.K.; Oh S.J.,10.1016/j.apmt.2024.102100,https://www.scopus.com/pages/publications/85184998009?origin=resultslist
"Creative destruction: The driver for innovation, financing, and the business cycle 1",Girón A.; Beltrán L.D.,10.4324/9781003558187-3,https://www.scopus.com/pages/publications/105001427335?origin=resultslist
Quantum control of networked robotic systems,Sharma V.K.; Joshi S.K.; Bora A.,10.4018/979-8-3693-7673-7.ch015,https://www.scopus.com/pages/publications/86000239245?origin=resultslist
"Intelligent robotic positioning through AI-enhanced metrology: Integration of standards, sensor fusion, and adaptive calibration",Haq I.U.; Carni D.L.; Lamonaca F.,10.21014/actaimeko.v14i3.2124,https://www.scopus.com/pages/publications/105017308886?origin=resultslist
Ag Nanocrystalline Decorated Hollow MXene Enabling Dynamic Heterojunction Network: An Interfacial Molecular Engineering for Self-Decoupling Thermoelectric-Piezoresistive Dual-Mode Sensing,Zhang H.-W.; Xu X.; Chen H.; Wang Y.-S.; Zhi Y.; Feng Z.-S.; Wang Y.,10.1002/adfm.74924,https://www.scopus.com/pages/publications/105032567613?origin=resultslist
"13th International Conference on Mathematical Modeling in Physical Sciences, ICMSQUARE 2024",,,https://www.scopus.com/pages/publications/105029402013?origin=resultslist
Social Revolution Accompanying New Technology,Ogawa N.,10.1007/978-981-96-3341-8_2,https://www.scopus.com/pages/publications/105002734820?origin=resultslist
Investigating a Filtered Feedback Weight in the Output Signal to Simulate a Self-learning Layer in an Optical Neural Network,Madhloom D.R.; Hemed A.A.; Khorshed S.M.,10.24996/ijs.2025.66.1(SI).5,https://www.scopus.com/pages/publications/85219747035?origin=resultslist
Navigating Cybersecurity in Industry 5.0: From Risks to Solutions,Kiran U.; Suryawanshi S.,10.1007/978-3-031-87837-4_10,https://www.scopus.com/pages/publications/105023627659?origin=resultslist
The role of artificial intelligence (AI) and machine learning (ML) in gastrointestinal (GI) tract cancers: challenges and opportunities,M M N.; Ghosh B.; Kumavath R.,10.1016/B978-0-443-44121-9.00004-4,https://www.scopus.com/pages/publications/105036914112?origin=resultslist
AI and Digitalization in Energy Management,Sanfilippo A.; Bayhan S.; Boscovic D.,10.1049/PBPO263E,https://www.scopus.com/pages/publications/105022051518?origin=resultslist
Quantum Teleportation-based Control for Mobile Robots,Numbi J.; Fazilat M.; Zioui N.; Tadjine M.,10.1109/ICACRS67045.2025.11324438,https://www.scopus.com/pages/publications/105032746445?origin=resultslist
Digital light processing 3D printable smart silicone-based elastomeric composites based on a synergistic dual-compatibilization strategy,Lan S.-Y.; Tian F.-Y.; Hao X.-Y.; Li X.-Y.; Bai J.; Ning N.-Y.; Yu B.; Tian M.,10.1039/d5py01138h,https://www.scopus.com/pages/publications/105029237941?origin=resultslist
Quantum-Powered Hyperautomation: Redefining Business Efficiency in the AI Era,Ravikumar R.N.; Aarthi S.; Jumaev N.; Mamadiyarov Z.; Kumari N.; Sharvanthika K.S.,10.4018/979-8-3373-4347-1.ch001,https://www.scopus.com/pages/publications/105033839583?origin=resultslist
Data-driven combination of METAR observations and CAMS reanalysis aerosols to enhance satellite retrieval of surface solar irradiance,Roy A.; Heinemann D.; Schroedter-Homscheidt M.; Lezaca Galeano J.E.,10.1038/s41598-026-39971-w,https://www.scopus.com/pages/publications/105030415255?origin=resultslist
Intelligent synthesis of magnetic nanographenes via chemist-intuited atomic robotic probe,Su J.; Li J.; Guo N.; Peng X.; Yin J.; Wang J.; Lyu P.; Luo Z.; Mouthaan K.; Wu J.; Zhang C.; Wang X.; Lu J.,10.1038/s44160-024-00488-7,https://www.scopus.com/pages/publications/85186196540?origin=resultslist
Quantum Computing for Healthcare Data: Revolutionizing the Future of Medicine,Nagasubramanian G.; Kumar S.R.; Balas V.E.,10.1016/C2023-0-52030-0,https://www.scopus.com/pages/publications/105009790311?origin=resultslist
Two-dimensional elastic molecular crystals via ZnF2 doping,Li S.; Huang X.; Xing M.; Yu J.; Du B.; Cao X.; Yan D.,10.1016/j.cej.2024.156602,https://www.scopus.com/pages/publications/85206082563?origin=resultslist
Min-Jae Choi,Choi M.-J.,10.1002/anie.202517869,https://www.scopus.com/pages/publications/105017994503?origin=resultslist
Research on a curvature- and time-optimal corner smoothing method for machining paths of a 6-axis hybrid machining robot,Ma Y.; Peng H.; Liu H.; Li B.; Liu Q.; Chen L.; Peng D.,10.1016/j.rcim.2026.103239,https://www.scopus.com/pages/publications/105027441728?origin=resultslist
Introduction to emerging technologies in healthcare,Rehman S.U.; Khondakar K.R.,10.1016/B978-0-443-26492-4.00010-4,https://www.scopus.com/pages/publications/105023936775?origin=resultslist
Advancing Autonomous Systems: A Review of Emerging Trends in Robotics,Hemalatha S.; Reddy K.V.S.V.T.; Rao T.V.; Ramaswamy T.; Pillai N.M.; Mohan G.K.,10.18280/jesa.580505,https://www.scopus.com/pages/publications/105010136768?origin=resultslist
Quantum computing in surgery and urology — taking a quantum leap,Khanna R.; Raison N.; Granados A.; Ourselin S.; Gandaglia G.; Briganti A.; Montorsi F.; Dasgupta P.,10.1038/s41585-025-01058-y,https://www.scopus.com/pages/publications/105008438622?origin=resultslist
"EU Projects Symposium Workshops, held under the umbrella of the 20th International conference on Availability, Reliability and Security, ARES 2025",,,https://www.scopus.com/pages/publications/105014438059?origin=resultslist
Quantum Networks and Their Applications in AI,Ananth C.; Khalaf O.I.; Anand J.,10.4018/979-8-3693-5832-0,https://www.scopus.com/pages/publications/85207001813?origin=resultslist
A quantum neural network model for short term wind speed forecasting using weather data,Pires O.M.; Nascimento E.G.S.; Moret M.A.,10.1016/j.egyai.2025.100588,https://www.scopus.com/pages/publications/105013181298?origin=resultslist
"Cognitive machine intelligence: Applications, challenges, and related technologies",Khan I.U.; El Hajjami S.; Ouaissa M.; Belaqziz S.; Bhatia T.K.,10.1201/9781003500865,https://www.scopus.com/pages/publications/85200958474?origin=resultslist
"Digital chemistry: navigating the confluence of computation and experimentation - definition, status quo, and future perspective",Bräse S.,10.1039/d4dd00130c,https://www.scopus.com/pages/publications/85202789419?origin=resultslist
Quantum-enhanced artificial potential field method for robust drone swarm shape formation,Almaameri I.; Blázovics L.,10.1038/s41598-025-25863-y,https://www.scopus.com/pages/publications/105022825218?origin=resultslist
Quantum Machine Learning-based Test Oracle for Autonomous Mobile Robots,Wang X.; Xu Q.; Arcaini P.; Ali S.; Peyrucain T.,10.1109/ASE63991.2025.00306,https://www.scopus.com/pages/publications/105034695699?origin=resultslist
An integrated approach using metaheuristic algorithms and neural networks for robot dynamic model identification within constrained workspaces,Li Y.; Zhang H.; Wang Y.; Zhang B.; Liu F.; Zhang C.; Li C.; Tian X.,10.1016/j.conengprac.2025.106628,https://www.scopus.com/pages/publications/105020254233?origin=resultslist
"A comprehensive review of Fuzzy Rule-based systems: Foundations, evolution, and future directions",Hegazi M.; Chebil K.; Almaslukh B.; Samara G.; Alqahtani S.A.,10.1016/j.cosrev.2026.100986,https://www.scopus.com/pages/publications/105036855079?origin=resultslist
"8th China Intelligent Networked Things Conference, CINT 2025",,,https://www.scopus.com/pages/publications/105023707271?origin=resultslist
"5th International Conference on Computer Vision and Robotics, CVR 2025",,,https://www.scopus.com/pages/publications/105031582931?origin=resultslist
Telesurgery: current status and strategies for latency reduction,Motiwala Z.Y.; Desai A.; Bisht R.; Lathkar S.; Misra S.; Carbin D.D.,10.1007/s11701-025-02333-1,https://www.scopus.com/pages/publications/105003133528?origin=resultslist
Bilinear quantum recurrent neural network-based real-time adaptive controller,Hanna Y.F.; El-Nagar A.M.; El-Bardini M.; Aziz Khater A.,10.1007/s00521-025-11651-2,https://www.scopus.com/pages/publications/105017392162?origin=resultslist
Integrating Artificial Intelligence into Neurotherapeutics: A New Frontier in Drug Design and Precision Healthcare,Sahoo S.K.; Tripathy B.; Khadanga M.,10.2174/0115748936413988251219064552,https://www.scopus.com/pages/publications/105035673994?origin=resultslist
Quantum Security for the Tactile Internet,Hassanpour S.; Bassoli R.; Nötzel J.; Fitzek F.H.P.; Boche H.; Strufe T.,10.1002/9781119988007.ch7,https://www.scopus.com/pages/publications/85214154448?origin=resultslist
Prospects for Quantum Computing in Onboard Computer Systems for Robotics,Bocharov N.,10.1109/SUMMA68668.2025.11302253,https://www.scopus.com/pages/publications/105032513321?origin=resultslist
Optimizing Motion in Nanoscale Robotics: A Hybrid WQPSO-Fuzzy Logic Approach for Dynamic Path Planning,Murugaiah P.; Samiappan D.; Nagu B.,10.24846/v34i2y202506,https://www.scopus.com/pages/publications/105010529843?origin=resultslist
"Biotech breakthroughs: Health, robotics, and the environment",Sikarwar S.S.; Singh V.K.,10.1201/9781003560319-12,https://www.scopus.com/pages/publications/105028074243?origin=resultslist
Quantum-Inspired Elephant Herd Optimization Algorithm for Coalition Formation in Human-Centric Applications,Mitra R.; Beed R.S.; Chakraborty T.,10.1007/s42979-025-04667-x,https://www.scopus.com/pages/publications/105029771954?origin=resultslist
Quantum Driven Dynamic Passivity-Based Neuromechanical Control for Wrist Rehabilitation Robot,Khan N.A.; Hussain F.; Goyal T.; Jamwal P.K.; Hussain S.,10.1109/TMRB.2025.3562266,https://www.scopus.com/pages/publications/105003191519?origin=resultslist
A Retina-Inspired Optoelectronic Synapse Using Quantum Dots for Neuromorphic Photostimulation of Neurons,Balamur R.; Eren G.O.; Kaleli H.N.; Karatum O.; Kaya L.; Hasanreisoglu M.; Nizamoglu S.,10.1002/advs.202401753,https://www.scopus.com/pages/publications/85186539931?origin=resultslist
A multi-dimensional tactile perception system based on triboelectric sensors: Towards intelligent sorting without seeing,Xiao T.; Bing Z.; Wu Y.; Chen W.; Zhou Z.; Fang F.; Liang S.; Guo R.; Tu S.; Pan G.; Guan T.; Wang K.; Sun X.W.; Huang K.; Knoll A.; Wang Z.L.; Müller-Buschbaum P.,10.1016/j.nanoen.2024.109398,https://www.scopus.com/pages/publications/85185708658?origin=resultslist
Computational Intelligence for Autonomous Finance,Gupta D.; Gupta M.; Dhanaraj R.K.; Balusamy B.; Gupta P.M.,10.1002/9781394233250,https://www.scopus.com/pages/publications/85217293705?origin=resultslist
"2025 International Conference on Automation and Computation, AUTOCOM 2025",,,https://www.scopus.com/pages/publications/105003966390?origin=resultslist
"THE AI GLOSSARY AI & Emerging Tech Explained 256 Key Concepts for Students, Professionals & Curious Minds",Khan R.R.,10.1201/9781003682615,https://www.scopus.com/pages/publications/105023778121?origin=resultslist
"ISSE 2025 - 11th IEEE International Symposium on Systems Engineering, Symposium Proceedings",,,https://www.scopus.com/pages/publications/105034964323?origin=resultslist
Continuous Quantum Reinforcement Learning for Robot Navigation,Drăgan T.-A.; Künzner A.; Wille R.; Lorenz J.M.,10.5220/0013371800003890,https://www.scopus.com/pages/publications/105001710824?origin=resultslist
Automated Assembly and Alignment of NIR and MIR External Cavity Diode Laser Systems,Erfle D.; Assmann C.; Schmidtmann S.; Honsberg M.; Sacher J.,10.1117/12.3042948,https://www.scopus.com/pages/publications/105004181923?origin=resultslist
Dynamic modeling and friction parameter identification of a hybrid robot considering active and passive joint frictions,Ma Y.; Chen L.; Liu H.; Li B.; Liu Q.; Peng H.; Peng D.,10.1016/j.mechmachtheory.2025.106348,https://www.scopus.com/pages/publications/105026653712?origin=resultslist
AIEd in Elementary School Nationalism Education: A Systematic Literature Review,Saputra B.D.; Murdiono M.; Tohani E.; Ibda H.,10.26803/ijlter.23.12.10,https://www.scopus.com/pages/publications/85214867717?origin=resultslist
A Prospective Metaverse Paradigm Based on the Reality-Virtuality Continuum and Digital Twins,Zare A.; Jalali A.,10.2174/0126662558294125240307094426,https://www.scopus.com/pages/publications/105001544820?origin=resultslist
Wearable Fluid Haptics for Enhanced Robotic Teleoperation with MANUS Quantum Metagloves,Padilla M.L.F.; Tang Z.; Chen F.,10.1109/ICMA65362.2025.11120536,https://www.scopus.com/pages/publications/105015981796?origin=resultslist
"Next Generation Smart Hospitals: AI, 6G, and IoT Integration",Gupta S.; Sehgal M.; Makkar R.; Jain S.; Rani K.,10.1109/ICCICA67008.2025.11337707,https://www.scopus.com/pages/publications/105033531197?origin=resultslist
Inorganic semiconducting nanostructures-based printed photodetectors,Shakthivel D.; Dahiya A.S.; Dahiya R.,10.1063/5.0236154,https://www.scopus.com/pages/publications/86000177733?origin=resultslist
"AI as Dramaturgical Partner Designing Live, Embodied Human-AI Performance Systems",Smith A.E.; Twomey R.,10.1007/978-3-032-16893-1_4,https://www.scopus.com/pages/publications/105032649135?origin=resultslist
Quantum-Inspired Sliding-Mode Control to Enhance the Precision and Energy Efficiency of an Articulated Industrial Robotic Arm,Fazilat M.; Zioui N.,10.3390/robotics14020014,https://www.scopus.com/pages/publications/85218865803?origin=resultslist
Glow-Worm-Inspired Fluorescent Self-Healing Actuators for Soft Robot and Reconfigurable Information Encryption,Zeng L.; Chen L.; Lin J.; Lin J.; Wu Y.; Wang Y.; Luo Z.; Huang F.; Chen D.,10.1002/adma.202501007,https://www.scopus.com/pages/publications/105002615738?origin=resultslist
Advancements in Quantum Computing: Revolutionizing Sensor Fusion and Data Processing in Robotics,Thi H.L.,10.1007/978-981-97-9324-2_11,https://www.scopus.com/pages/publications/105016254086?origin=resultslist
Beyond automation: Unveiling the potential of agentic intelligence,Tirulo A.; Yadav M.; Lolamo M.; Chauhan S.; Siano P.; Shafie-khah M.,10.1016/j.rser.2025.116218,https://www.scopus.com/pages/publications/105014186886?origin=resultslist
Survey on Intelligent IoT Connectivity and Deep Learning Integration for 6G Smart Networks,Ramya P.V.; Shankaraiah,,https://www.scopus.com/pages/publications/105034892415?origin=resultslist
AI-Driven Optimization in Healthcare Supply Chains,Kadam S.; Raj C.; Anawade P.; Sharma D.; Wanjari U.; Shirbhate J.; Pipare S.,10.1007/978-981-96-7508-1_38,https://www.scopus.com/pages/publications/105020254252?origin=resultslist
Innovating and Integrating Emerging Technologies,Taherdoost H.,10.1007/978-3-031-93953-2,https://www.scopus.com/pages/publications/105017433332?origin=resultslist
Recent Progress in Optical Lateral Forces (Invited); [横向光力最新研究进展（特邀）],Shi Y.; Lai C.; Yi W.; Huang H.; Feng C.; He T.; Liu A.; Qiu W.; Wang Z.; Cheng X.,10.3788/AOS231739,https://www.scopus.com/pages/publications/85191305619?origin=resultslist
Quantum-Inspired Reinforcement Learning for Real-Time Decision-Making: Advancing Efficiency and Adaptability in Dynamic Systems,Suneel Kumar M.; Alfatlawy R.; Mogili R.; Reddy A.R.; Prakash G.B.; Pramod Kumar Naik D.,10.1109/ICMCTC62214.2025.11196725,https://www.scopus.com/pages/publications/105022269938?origin=resultslist
The Stability of Linear Control Systems on Low-Dimensional Lie Groups,Ayala V.; Valdivia Hanco W.E.; Pariapaza Mamani J.E.; Todco M.L.T.,10.3390/sym17101766,https://www.scopus.com/pages/publications/105020268656?origin=resultslist
Optofluidic three-dimensional microfabrication and nanofabrication,Lyu X.; Lei W.; Gardi G.; Khan M.T.A.; Bagheri S.; Zhang M.; Sitti M.,10.1038/s41586-025-10033-x,https://www.scopus.com/pages/publications/105028926292?origin=resultslist
Quantum computing and bio-inspired robotics,Sikarwar S.S.; Srinivasan S.M.,10.1201/9781003560319-14,https://www.scopus.com/pages/publications/105028079724?origin=resultslist
Towards Uncertainty-aware Robotic Perception via Mixed-signal BNN Engine Leveraging Probabilistic Quantum Tunneling,Pei L.; Zhou Y.; Wang X.; Zhao X.; Huang W.; Cheng B.; Mulaosmanovic H.; Duenkel S.; Kleimaier D.; Beyer S.; Ni K.; Hou M.; Niemier M.; Cao N.,10.1109/DAC63849.2025.11132881,https://www.scopus.com/pages/publications/105017807795?origin=resultslist
"Several workshops which were held in conjunction with the Mexican International Conference on Artificial Intelligence, MICAI 2025",,,https://www.scopus.com/pages/publications/105032697784?origin=resultslist
Switching speed limits in electrically driven VO2 structural Mott–Peierls transition,Pofelski A.; Liu C.; Reisbick S.A.; Han M.-G.; Wu L.; Navarro H.; Qiu E.; Wang T.D.; Mousavi M S.S.; Alspaugh D.J.; Rozenberg M.; Ramanathan S.; Schuller I.K.; Zhu Y.,10.1038/s41467-026-69904-0,https://www.scopus.com/pages/publications/105034664508?origin=resultslist
A PARALLELIZABLE HEURISTIC ALGORITHM FOR PLANAR TRIANGULATION WITH NOISY DATA,Melnikov B.; Liu B.,10.35470/2226-4116-2025-14-3-267-274,https://www.scopus.com/pages/publications/105025358205?origin=resultslist
Integrating Fuzzy Evaluation Agents and LLM-based Robots for Multilingual Interactive Applications,Lee C.-S.; Wang M.-H.; Yue C.-C.; Lin C.-H.; Yang S.-C.; Lin Y.-J.; Kubota N.; Sato-Shimokawara E.,10.1109/IFUZZY67152.2025.11287789,https://www.scopus.com/pages/publications/105033235727?origin=resultslist
Design and Analysis of a Cube Calculator Using QCA Technology and its Comparison with CMOS,Nandhaguru S.; Murugesan Y.P.; Ramesh S.R.,10.1109/IConSCEPT66142.2025.11436801,https://www.scopus.com/pages/publications/105036521659?origin=resultslist
Transforming healthcare through emergent technologies,Lamba M.; Dhull A.; Lamba J.; Singh A.,10.1016/B978-0-443-26747-5.00011-2,https://www.scopus.com/pages/publications/105023934679?origin=resultslist
"International Conference on Power Engineering and Intelligent Systems, PEIS 2024",,,https://www.scopus.com/pages/publications/85210082136?origin=resultslist
Optimized quantum LSTM using modified electric Eel foraging optimization for real-world intelligence engineering systems,Al-qaness M.A.A.; Abd Elaziz M.; Dahou A.; Ewees A.A.; Al-Betar M.A.; Shrahili M.; Ibrahim R.A.,10.1016/j.asej.2024.102982,https://www.scopus.com/pages/publications/85200322663?origin=resultslist
"International Conference on Micro, Nano, and Smart Systems, IC-MNSS 2024",,,https://www.scopus.com/pages/publications/105009207193?origin=resultslist
"FPGAs: architecture, design flow, and emerging applications—industrial perspectives",Tran H.Q.,10.1007/s10470-026-02563-9,https://www.scopus.com/pages/publications/105033879478?origin=resultslist
Bridging Mind and Machine in Space: Quantum Neurotech for Human-Robot Collaboration,Li E.; Zhu H.,10.52202/083083-0069,https://www.scopus.com/pages/publications/105032624032?origin=resultslist
Using Information Communication and Computation Technology (ICCT) for Re-defining Higher Education in India—A Roadmap,Aithal P.S.,10.4324/9781003625230-5,https://www.scopus.com/pages/publications/105026333290?origin=resultslist
Design and Batch Fabrication of Stretchable Bifunctional Sensor Using Polyaniline and ZnO Nanostructures for Tensile and UV Sensing,Kim K.-Y.; Lee D.-H.; Lee Y.-A.; Cho Y.-A.; Choi J.-H.; Kim J.-H.; Kim H.-S.,10.1109/JSEN.2024.3397821,https://www.scopus.com/pages/publications/85193299978?origin=resultslist
