Id,Title,Publication,Publication_Type,Publication_Domain,Link,Author,Date,QAI_Types,Base_Technique,QAI_Integration_Mechanism,Number_Of_Agents,Modality,Number_Of_Input_Modalities,Part_Of_EI_Enhanced_By_QAI,Main_Functionality_Of_Enhanced_Modules,Enhancement_Type,Explanation_Details,Capability_And_Primary_Task,Application_Context,Mobility_Mode,Github_Repo,Quantum_Side_Execution,Quantum_Side_Platform,Embodied_Side_Evaluation,Embodied_Side_Platform,Hybrid_Setting
11,The study of collision analysis and stabilized operational control for a multi-flexible space robot under captured target collision,European Journal of Control,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008659767&doi=10.1016%2Fj.ejcon.2025.101265&partnerID=40&md5=9bb2bc39ae7aef3bb1a91fb20d4755d5,"Zhang, F.; Liang, N.",2025,quantum-inspired,Neural networks,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,Quantum-enhanced actor-critic trajectory tracking controller for flexible space robot rigid subsystem post-capture,"Optimization, Control",Optimization: Quantum methods improve search over control parameters; Control: Quantum-enhanced design strengthens robustness in collision-aware control,Control,Space,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
12,Quantum Particle Swarm Optimization (QPSO)-Based Enhanced Dynamic Model Parameters Identification for an Industrial Robotic Arm,Mathematics,Journal,Mathematics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014432138&doi=10.3390%2Fmath13162631&partnerID=40&md5=4724dddbbb1cc25b7ae1dde49be335ca,"Fazilat, M.; Zioui, N.",2025,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,execution,Dynamic model parameters identification,Optimization,Optimization: QPSO improves dynamic model parameter identification accuracy,Kinematics Dynamics Modeling,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Simulink; SolidWorks,Embodied-side evaluation with classical quantum-inspired execution
13,Reptile Honey Badger Optimization Algorithm-Based Deep Quantum Neural Network for Task Allocation in Multi-Robot Systems,International Journal of Adaptive Control and Signal Processing,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004348643&doi=10.1002%2Facs.4015&partnerID=40&md5=fde67a819501212cb85d60033e7455ad,"Dabass, V.; Sangwan, S.",2025,quantum-inspired,Neural networks,"Quantum feature mapping,Parameterized quantum circuit as learnable operator",multi,Position Modality,unimodal,reasoning,Penalty cost prediction for task-assignment constraint violation reasoning,"Optimization, Learning",Optimization: Hybrid optimization improves task-allocation search; Learning: Deep quantum neural modeling strengthens multi-robot decision learning,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,WsnSimPy; Numerical simulation,One-sided execution/evaluation without explicit counterpart
14,Quantum Leap in Automation: Exploring Quantum Machine Learning for Enhanced Precision in Optoelectronic Robotic Systems,Journal Europeen des Systemes Automatises,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012127531&doi=10.18280%2Fjesa.580607&partnerID=40&md5=323eebb05b907596a57c7ec19e537605,"Naladesi, N.S.; Aluvalu, R.; Uma Maheswari, U.M.; Kantipudi, M.V.V.P.; Shankar Murthy, P.K.N.; Salendra, S.",2025,hybrid,Decision fusion,Parameterized quantum circuit as learnable operator,single,"Vision,Sensor(Unspecified)",multimodal,reasoning,Quantum entanglement-based parallel multi-path decision fusion,"Representation, Optimization",Representation: Quantum ML improves precision-oriented system modeling; Optimization: Quantum ML improves decision quality through better parameter search,Decision Making,Manufacturing,Unspecified,,Quantum simulator or software framework,Qiskit,Numerical or engineering simulation,Numerical simulation,Coupled quantum-side execution and embodied-side evaluation
15,An Active Control Method for a Lower Limb Rehabilitation Robot with Human Motion Intention Recognition,Sensors,Journal,Other,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217744538&doi=10.3390%2Fs25030713&partnerID=40&md5=f562fafd3ecac04947fa5e7338b55f94,"Song, Z.; Zhao, P.; Wu, X.; Yang, R.; Gao, X.",2025,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,single,"Vision,Proprioception,Physiological Modality",multimodal,reasoning,Infer the patient's continuous motion intention using QPSO-BiLSTM,"Representation, Control",Representation: Quantum models improve human motion intention recognition; Control: Better intention recognition supports control decision-making,Control,Healthcare,Wearable Robot,,Classical execution of quantum-inspired method,,Physical embodied platform,MATLAB; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
16,Fuzzy A∗ quantum multi-stage Q-learning artificial potential field for path planning of mobile robots,Engineering Applications of Artificial Intelligence,Journal,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211980206&doi=10.1016%2Fj.engappai.2024.109866&partnerID=40&md5=9ca00e6a46a605ec6501349125ede28a,"Hu, L.; Wei, C.; Yin, L.",2025,quantum-inspired,Reinforcement learning,Quantum probabilistic state representation of random variable distributions,single,Position Modality,unimodal,reasoning,"Quantum bit probability amplitudes represent Q-values as superpositions of multiple states,enabling quick speed to determine an escape route","Learning, Optimization",Learning: Quantum multi-stage Q-learning improves policy acquisition; Optimization: Quantum-enhanced search improves path planning efficiency,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
17,Quantum Machine Learning for Multi-Robot-Assisted Tactical Augmented Reality,IEEE Internet of Things Magazine,Journal,Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219514918&doi=10.1109%2FIOTM.001.2400149&partnerID=40&md5=e828e366bee60f0bf0fce43574036a8f,"Okine, A.A.; Silvirianti; Kaddoum, G.",2025,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,multi,"Vision,Audio,Position Modality",multimodal,reasoning,Distributed per-robot routing policy reasoning under adversarial jamming,Representation,Representation: Quantum ML improves environment understanding for tactical decision support,Situational Awareness,Defense,Mobile Robot(unspecified),,Quantum simulator or software framework,PennyLane,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
18,An improved whale optimization algorithm for multi-robot path planning,Engineering Optimization,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202854596&doi=10.1080%2F0305215X.2024.2366484&partnerID=40&md5=1d0a18799622e23a90ecdfcd92319e6e,"Shao, Y.; Zhu, L.; Su, C.; Wang, J.",2025,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,multi,Position Modality,unimodal,reasoning,Optimal path node configuration reasoning for multi-robot navigation and inter-robot collision avoidance speed reasoning,Optimization,Optimization: Improved optimization enhances multi-robot path planning decisions,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
19,A Generative Neuro-Cognitive Architecture Using Quantum Algorithms for the Autonomous Behavior of a Smart Agent in a Simulation Environment,"Computers, Materials and Continua",Journal,Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014216412&doi=10.32604%2Fcmc.2025.065572&partnerID=40&md5=a4ee39fc9952bc1f43e87ad2cd49e705,"Daǧlarli, E.",2025,hybrid,"Reinforcement learning,Generative neuro-cognitive architecture",Incorporating quantum algorithms,single,"Vision,Proprioception,Position Modality",multimodal,reasoning,Use Grover's algorithm amplifies the probability of high-reward action selection,"Representation, Learning",Representation: Quantum cognitive models improve internal behavior representation; Learning: Quantum algorithms strengthen autonomous behavior learning,Behavior Generation,Generic Robotics,Non-Robotic System,,Quantum simulator or software framework,Qiskit,Embodied simulator or benchmark environment,MineRL,Coupled quantum-side execution and embodied-side evaluation
20,Continuous Quantum Reinforcement Learning for Robot Navigation,International Conference on Agents and Artificial Intelligence,Conference,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001710824&doi=10.5220%2F0013371800003890&partnerID=40&md5=f44a8885a3e7a8917b69714944703f25,"Dragan, T.-A.; Künzner, A.; Wille, R.; Lorenz, J.M.",2025,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Position Modality,unimodal,reasoning,Continuous navigation policy and value approximation via VQC,Learning,Learning: Continuous quantum reinforcement learning improves navigation decision-making,Navigation Path Planning,Generic Robotics,Wheeled Robot,,Quantum-side execution not specified,,Embodied simulator or benchmark environment,OpenAI Gym,One-sided execution/evaluation without explicit counterpart
21,Compassionate Care with Autonomous AI Humanoid Robots in Future Healthcare Delivery: A Multisensory Simulation of Next-Generation Models,Biomimetics,Journal,Other,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211074062&doi=10.3390%2Fbiomimetics9110687&partnerID=40&md5=2e63e039cbf87df370f88dcfd27f1e68,"Hernandez, J.P.T.",2024,quantum-inspired,Null,Quantum state representation of semantic / cognitive variables,single,"Vision,Audio,Language",multimodal,reasoning,Perception of human emotion,Representation,Representation: Quantum-inspired models improve multisensory reasoning and high-level decision support,Assistance,Healthcare,Humanoid Robot,https://github.com/jphernandezrn/Data-Sonification-Human-Robot-Interaction,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
22,RL-QPSO net: deep reinforcement learning-enhanced QPSO for efficient mobile robot path planning,Frontiers in Neurorobotics,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215382390&doi=10.3389%2Ffnbot.2024.1464572&partnerID=40&md5=a1426ab563319168024c722dddad3b5b,"Jing, Y.; Weiya, L.",2024,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,"Vision,Position Modality,Environmental Modality",multimodal,reasoning,Global path optimization via quantum-behaved probabilistic particle search,"Learning, Optimization",Learning: Deep reinforcement learning improves planning policy learning; Optimization: QPSO improves path-search efficiency,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
23,Real time adaptive PID controller based on quantum neural network for nonlinear systems,Engineering Applications of Artificial Intelligence,Journal,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167830860&doi=10.1016%2Fj.engappai.2023.106952&partnerID=40&md5=a6b53c9d94b3d373756b0e82d66b8a55,"Hanna, Y.F.; Khater, A.; El-Bardini, M.; El-Nagar, A.M.",2023,quantum-inspired,Neural networks,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,Real-time adaptive control execution,"Control, Representation",Control: QNN improves adaptive PID tuning for nonlinear systems; Representation: QNN improves nonlinear control modeling,Control,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
24,Self-organized intelligent quantum controller: quantum deep learning and quantum genetic algorithm - QSCOptKBTM toolkit,Proceedings of Science,Conference,Other,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144611672&partnerID=40&md5=e27dc925f76680e6571a0ea1d864576d,"Korenkov, V.V.; Reshetnikov, A.G.; Ulyanov, S.V.; Zrelov, P.V.; Zrelova, D.P.",2022,hybrid,"Evolutionary computation,Fuzzy inference","Quantum probabilistic state representation of random variable distributions,Parameterized quantum circuit as learnable operator,Incorporating quantum algorithms",single,Position Modality,unimodal,execution,Robust adaptive control execution under uncertainty and hazard situations,"Learning, Control",Learning: Quantum learning enables self-organizing controller adaptation; Control: Quantum control design improves adaptive control performance,Control,Generic Robotics,Fixed-base Robot,,Quantum simulator or software framework,Self-developed System,Numerical or engineering simulation,Numerical simulation,Coupled quantum-side execution and embodied-side evaluation
25,Forward kinematics of body posture perception using an improved BP neural network based on a quantum genetic algorithm,Laser Physics Letters,Journal,Physics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135205641&doi=10.1088%2F1612-202X%2Fac7f37&partnerID=40&md5=7926775ae03e262f7ca5479408e8616f,"Chen, B.; Zhang, T.; Cong, L.; Ma, J.; Hu, W.",2022,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,perception,Perception of body posture,"Optimization, Representation",Optimization: QGA improves parameter search for posture modeling; Representation: Improved BP modeling enhances posture perception accuracy,Perception Recognition,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; MATLAB,Embodied-side evaluation with classical quantum-inspired execution
26,A Quantum Planner for Robot Motion,Mathematics,Journal,Mathematics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136206317&doi=10.3390%2Fmath10142475&partnerID=40&md5=e4803508adaaa960f1f7d04dc2c80f57,"Chella, A.; Gaglio, S.; Pilato, G.; Vella, F.; Zammuto, S.",2022,hybrid,Producion system,Incorporating quantum algorithms,single,Position Modality,unimodal,reasoning,"Robot navigation rules are formalized as a quantum production system,Grover's algorithm amplifies the probability of the correct action sequence",Optimization,Optimization: Quantum search accelerates robot motion planning,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Quantum simulator or software framework,Qiskit,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
27,QUANTUM COMPUTING FOR DESIGNING BEHAVIORAL MODEL AND QUANTUM MACHINE LEARNING ON A HUMANOID ROBOT,Annals of DAAAM and Proceedings of the International DAAAM Symposium,Conference,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123936813&doi=10.2507%2F32nd.daaam.proceedings.085&partnerID=40&md5=01691a532a92ed253ea84a4801185880,"Viertel, J.; Aburaia, M.",2021,hybrid,Support vector machine,"Incorporating quantum algorithms,Quantum feature mapping",single,Vision,unimodal,reasoning,Grover's algorithm amplify valid-path probability amplitudes,Representation,Representation: Quantum models enhance humanoid behavioral reasoning,Behavior Generation,Generic Robotics,Humanoid Robot,,Quantum hardware or quantum-device execution,Qiskit; real quantum computer,Physical embodied platform,Humanoid biped robot,Coupled quantum-side execution and embodied-side evaluation
28,Variational Quantum Circuit-Based Reinforcement Learning for POMDP and Experimental Implementation,Mathematical Problems in Engineering,Journal,Mathematics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122731020&doi=10.1155%2F2021%2F3511029&partnerID=40&md5=ea1e05d31888651e986259c249b167ec,"Kimura, T.; Shiba, K.; Chen, C.-C.; Sogabe, M.; Sakamoto, K.; Sogabe, T.",2021,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Position Modality,unimodal,reasoning,"Variational quantum circuit (VQC)-based complex-valued Q-function approximation for POMDP navigation planning,enabling the agent to plan a goal-directed path from start to goal under incomplete state observability","Learning, Probabilistic",Learning: Variational quantum circuits improve reinforcement learning; Probabilistic: Quantum circuits improve decision-making under uncertainty,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),https://github.com/tomo920/QC-ComplexValuedRL,Quantum hardware or quantum-device execution,Qiskit; IBMQ system,Numerical or engineering simulation,Numerical simulation,Coupled quantum-side execution and embodied-side evaluation
29,Quantum-Based Creative Generation Method for a Dancing Robot,Frontiers in Neurorobotics,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097612632&doi=10.3389%2Ffnbot.2020.559366&partnerID=40&md5=93da6a5d2d4a3346e3e0a6eac0c6fd44,"Mei, P.; Ding, G.; Jin, Q.; Zhang, F.; Jiao, Y.",2020,quantum-inspired,Knowledge graph,Quantum superposition- and entanglement-inspired knowledge representation structure,single,"Vision,Audio,Language",multimodal,reasoning,Quantum knowledge graph (M-3DQKG)-driven creative dance action sequence planning,Representation,Representation: Quantum generative models improve creative behavior planning for dancing robots,Behavior Generation,Generic Robotics,Humanoid Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
30,Quantum fuzzy inference based on quantum genetic algorithm: Quantum simulator in intelligent robotics,Advances in Intelligent Systems and Computing,Conference,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089219987&doi=10.1007%2F978-3-030-35249-3_9&partnerID=40&md5=209b16415bc1bc3ae35c3edc4e3a63de,"Ulyanov, S.V.",2020,hybrid,"Evolutionary computation,Fuzzy inference","Quantum probabilistic state representation of random variable distributions,Parameterized quantum circuit as learnable operator,Incorporating quantum algorithms",single,Proprioception,unimodal,reasoning,QGA reasons about which correlation type best represents the current control state and QFI reasons coefficients K in real time for PID,"Representation, Optimization",Representation: Quantum fuzzy inference improves reasoning representation; Optimization: Quantum genetic optimization improves inference accuracy,Control,Generic Robotics,Wheeled Robot,,Quantum simulator or software framework,Self-developed System,Numerical or engineering simulation,Numerical simulation; Self-developed System,Coupled quantum-side execution and embodied-side evaluation
31,The Inverse Solution Algorithm and Trajectory Error Analysis of Robotic Arm Based on MQACA-RBF Network,Journal of Robotics,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081157972&doi=10.1155%2F2020%2F7807952&partnerID=40&md5=fab3f881f47213726228ac36298753b9,"Cheng, X.; Zhao, M.",2020,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,Position accuracy and trajectory tracking accuracy of robotic arm,Optimization,Optimization: Quantum-inspired optimization improves inverse-solution accuracy and trajectory performance,Kinematics Dynamics Modeling,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
32,Control Design of Robotic Manipulator Based on Quantum Neural Network,"Journal of Dynamic Systems, Measurement and Control",Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039697320&doi=10.1115%2F1.4038492&partnerID=40&md5=349bcd4f24533bc83d98904bb023283c,"Abdulridha, H.M.; Hassoun, Z.A.",2018,quantum-inspired,Neural networks,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,Closed-loop motion control response performance of robotic manipulator joints,"Representation, Control",Representation: QNN improves nonlinear manipulator modeling; Control: QNN improves manipulator control design,Control,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Simulink; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
33,Cooperative learning-agents for task allocation problem,Advances in Intelligent Systems and Computing,Conference,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042556512&doi=10.1007%2F978-3-319-75175-7_93&partnerID=40&md5=7e731a0017138cd687cbb7896b09797f,"Zitouni, F.; Maamri, R.",2018,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,"Position Modality,Proprioception",multimodal,reasoning,Robot coalition formation via QGA,Learning,Learning: Learning-based cooperation improves task-allocation decision-making,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Self-developed embodied evaluation environment,Self-developed System,Embodied-side evaluation with classical quantum-inspired execution
34,Control of robot manipulator error using FPDI-IQGA in neural network,Journal of Computational and Theoretical Nanoscience,Journal,Physics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977266907&doi=10.1166%2Fjctn.2016.5106&partnerID=40&md5=343d7e3727bca34c60ecfd2f06314903,"Sathish Kumar, A.S.; Alavandar, S.",2016,quantum-inspired,"Evolutionary computation,Fuzzy inference","Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,Motion control error suppression and positioning precision of robotic manipulator joints,"Optimization, Control",Optimization: Quantum genetic optimization improves controller tuning; Control: Better tuning reduces manipulator control error,Control,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Simulink,Embodied-side evaluation with classical quantum-inspired execution
